endTime,username,platform,artistName,trackName,msPlayed,incognito_mode,conn_country,user_agent_decrypted,shuffle
11-07-2023 13:48,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,Shaarib Toshi,Maahi,1918,FALSE,IN,unknown,FALSE
11-07-2023 13:53,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,Salim–Sulaiman,Shukran Allah,290053,FALSE,IN,unknown,FALSE
11-07-2023 13:55,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,Madan Mohan,Tere Liye,4412,FALSE,IN,unknown,FALSE
11-07-2023 13:55,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Rashid Khan,Aaoge Jab Tum,2675,FALSE,IN,unknown,FALSE
11-07-2023 13:55,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,KK,Tu Hi Meri Shab Hai,2143,FALSE,IN,unknown,FALSE
11-07-2023 13:55,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Jatin-Lalit,Mere Haath Mein,120112,FALSE,IN,unknown,FALSE
11-07-2023 13:56,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Shankar Mahadevan,Tere Naina,33253,FALSE,IN,unknown,FALSE
11-07-2023 13:56,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,A.R. Rahman,Saathiya,2799,FALSE,IN,unknown,FALSE
11-07-2023 13:56,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Atif Aslam,Aadat,1380,FALSE,IN,unknown,FALSE
11-07-2023 13:59,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Vishal-Shekhar,"Ghungroo (From ""War"")",187858,FALSE,IN,unknown,FALSE
11-07-2023 14:02,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Yohani,"Manike (From ""Thank God"")",194062,FALSE,IN,unknown,FALSE
11-07-2023 14:03,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Sachin-Jigar,"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")",4107,FALSE,IN,unknown,FALSE
11-07-2023 14:03,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,Varun Jain,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",13659,FALSE,IN,unknown,FALSE
11-07-2023 14:03,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",10856,FALSE,IN,unknown,FALSE
11-07-2023 14:03,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",26240,FALSE,IN,unknown,FALSE
11-07-2023 14:06,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,OAFF,"Doobey (From ""Gehraiyaan"")",144590,FALSE,IN,unknown,FALSE
11-07-2023 14:09,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Pritam,Kabira,220250,FALSE,IN,unknown,FALSE
11-07-2023 14:12,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,Pritam,"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")",4118,FALSE,IN,unknown,FALSE
